# timestamp tx ty tz qx qy qz qw
1788506811.599162102 -37.277773219 -55.904629960 0.719608323 0.052111376 0.000823507 0.853237018 0.518912629
1788506811.699358940 -37.296441211 -55.872148230 0.723935994 0.050096486 0.000715081 0.853270185 0.519056666
1788506811.799514055 -37.319160008 -55.838525475 0.720297353 0.047458604 0.001147251 0.853784981 0.518456912
1788506811.899704933 -37.318002854 -55.821529628 0.726625790 0.051922974 -0.000057896 0.853480556 0.518531524
1788506811.999834061 -37.327700321 -55.796044834 0.729234675 0.052070839 0.000416097 0.854394017 0.517009980
1788506812.100070953 -37.327485418 -55.776986492 0.722973031 0.055508502 0.001854745 0.853608832 0.517945295
1788506812.200197935 -37.348165313 -55.740091964 0.725071200 0.050878755 0.001396803 0.853550765 0.518517592
1788506812.300358057 -37.377958416 -55.705229638 0.721751883 0.049846550 0.002243182 0.853170353 0.519240444
1788506812.400489092 -37.404412593 -55.686865932 0.717408567 0.045805687 -0.000378882 0.852742282 0.520319418
1788506812.500601053 -37.446653796 -55.648383907 0.694202574 0.043759115 0.000793359 0.853378036 0.519452056
1788506812.600723982 -37.468336949 -55.606107342 0.691086081 0.039330772 0.004610283 0.853661882 0.519319965
1788506812.700876951 -37.470774871 -55.583881731 0.694395985 0.044226218 0.004459895 0.853514247 0.519170089
1788506812.800981045 -37.449860390 -55.575972676 0.706618986 0.051044229 0.003954523 0.853791688 0.518091306
1788506812.901179075 -37.441104772 -55.565682529 0.706382663 0.053351172 0.002659469 0.853276383 0.518715716
